BLOCK,TIME,TYPE,(BTC) AMOUNT,($) BTC PRICE,($) TOTAL COST
561730,06-02-2019 04:18,BUY,0.001,3406,3.41
562496,10-02-2019 23:58,SELL,0.001,3649,3.65
562640,12-02-2019 00:12,BUY,0.00556,3629,20.18
562772,12-02-2019 23:26,SELL,0.00311,3615,11.24
562774,12-02-2019 23:54,BUY,1119,3615,4044710.12
562896,13-02-2019 21:22,SELL,100.00011,3603,360263.86
562925,14-02-2019 01:07,BUY,4500,3611,16251593.47
562936,14-02-2019 02:28,BUY,4934.61999,3616,17842747.54
564810,27-02-2019 00:54,BUY,334,3816,1274398.51
564934,27-02-2019 23:35,BUY,33,3770,124423.06
565253,01-03-2019 23:19,BUY,81,3845,311416.69
565513,03-03-2019 19:21,BUY,72,3808,274199.87
565675,05-03-2019 00:14,BUY,41,3720,152533.60
565827,06-03-2019 00:31,BUY,10,3854,38539.78
566261,09-03-2019 05:08,BUY,122,3875,472769.45
566676,12-03-2019 03:33,BUY,16,3838,61415.06
567165,15-03-2019 11:26,BUY,0.00000546,3893,0.02
568099,21-03-2019 10:17,BUY,0.00000546,4050,0.02
568212,22-03-2019 03:37,SELL,1.00079138,3999,4002.36
568215,22-03-2019 03:50,BUY,25,3999,99979.78
568337,22-03-2019 22:30,BUY,62,3998,247895.82
568535,24-03-2019 05:07,BUY,37,3990,147620.04
569516,31-03-2019 01:09,BUY,64,4109,262999.93
569526,31-03-2019 04:44,BUY,0.00000888,4099,0.04
569780,01-04-2019 23:40,BUY,42,4143,174020.82
570282,05-04-2019 09:51,BUY,1000,4957,4957444.95
570949,10-04-2019 02:38,BUY,284,5185,1472618.84
571260,12-04-2019 03:36,BUY,287,4988,1431451.43
571435,13-04-2019 07:25,BUY,15,5110,76655.27
571956,17-04-2019 03:11,BUY,153,5231,800332.61
572488,20-04-2019 22:10,BUY,84,5323,447110.60
573077,24-04-2019 23:23,BUY,374,5434,2032464.91
573375,27-04-2019 00:18,BUY,263,5256,1382262.97
573976,30-04-2019 23:30,BUY,82,5306,435062.26
574175,02-05-2019 04:08,BUY,26,5376,139780.46
574361,03-05-2019 04:28,BUY,68,5539,376650.66
574740,05-05-2019 22:02,BUY,60,5764,345819.62
574909,07-05-2019 01:48,BUY,147,5750,845211.32
575176,08-05-2019 23:56,BUY,163,5944,968889.03
575371,10-05-2019 08:37,BUY,126,6294,793052.82
575488,11-05-2019 06:23,BUY,493,6605,3256501.04
575626,12-05-2019 06:57,BUY,17,7192,122260.40
575757,13-05-2019 02:59,BUY,715,6930,4954686.16
575912,14-05-2019 00:29,BUY,943,8057,7598117.38
576382,17-05-2019 04:26,BUY,833,7773,6474567.12
578314,29-05-2019 09:53,BUY,0.0001,8539,0.85
578473,30-05-2019 07:29,BUY,327,8722,2852136.78
578601,31-05-2019 03:10,BUY,39,8337,325141.38
578709,01-06-2019 01:51,BUY,913,8540,7796605.89
579594,07-06-2019 03:59,BUY,75,7785,583886.65
580014,10-06-2019 02:05,BUY,52,7594,394908.63
581257,18-06-2019 15:39,BUY,0.00000777,9175,0.07
582659,27-06-2019 12:03,BUY,4100,11704,47988226.52
582759,28-06-2019 04:18,BUY,746,11255,8396259.89
